300;01042023;C;1000;
100;01042023;C;2000;
200;01042023;C;1000;
100;05042023;D;200;
100;08042023;D;400;
200;10042023;D;800;
300;15042023;D;200;
100;20042023;D;40;
200;25042023;D;100;
100;25042023;D;90;
200;30042023;D;80;
400;30042023;C;2000;
400;30042023;D;500;
300;05052023;C;10;
100;10052023;C;200;
200;15052023;C;100;
300;17052023;C;30;
100;20052023;D;800;
300;25052023;C;90;
200;30052023;D;50;
400;30052023;D;200;
300;01062023;C;1000;
100;01062023;C;2000;
200;01062023;C;1000;
300;07062023;C;250;
100;10062023;D;1000;
200;15062023;C;400;
300;15062023;D;100;
400;30062023;C;500;
400;30062023;D;2000;
100;01072023;C;1000;
200;01072023;C;1500;
100;01072023;D;50;
200;01072023;C;2000;
100;05072023;D;100;
100;05072023;D;80;
200;07072023;D;500;
100;10072023;C;3000;
100;10072023;D;700;
200;15072023;C;500;
100;16072023;D;100;
100;17072023;D;200;
100;17072023;D;150;
200;17072023;D;50;
100;19072023;D;400;
200;20072023;D;200;
200;20072023;D;800;
100;22072023;D;1200;
200;25072023;D;5000;
300;30072023;D;1000;
400;30072023;D;2000;
200;01082023;D;800;
200;03082023;C;200;
100;03082023;D;500;
100;07082023;D;55;
200;10082023;C;100;
300;15082023;C;3500;
100;18082023;D;150;
100;20082023;C;450;
400;30082023;C;500;
400;30082023;D;1000;
