500;04032023;C;3000;
500;04032023;C;5000;
600;06032023;C;100;
600;07032023;D;200;
500;08032023;D;400;
500;10032023;D;800;
600;25032023;D;200;
600;30042023;D;40;
500;30042023;D;100;
500;15052023;C;10;
600;15052023;C;90;
500;30052023;D;50;
600;30052023;D;200;
500;01062023;C;1000;
600;01062023;C;2000;
500;10062023;D;1000;
600;15062023;C;400;
500;20062023;D;100;
500;30062023;C;500;
600;30062023;D;2000;
500;01072023;C;1000;
600;01072023;C;1500;
500;30072023;D;1000;
600;30072023;D;2000;
500;01082023;D;800;
500;03082023;C;200;
600;03082023;D;500;
600;07082023;D;55;
500;10082023;C;100;
600;15082023;C;3500;
500;18082023;D;150;
600;20082023;C;450;
500;30082023;C;500;
600;30082023;D;4000;
500;05092023;D;80;
500;10092023;C;500;
600;10092023;D;100;
